Device ID	Device Name
beca31da7c57f8e253be57c6220547a713edd0ed	ShoaibCubix
564837e77872bc32f04509c35c8b08497d7cc8ef	SalmanCubix
f66b81a4baffe13e842b8081dfa771fa72e31ffd	SalmamCubix2
d608e5497dd5d5abdd152b09a3e16359ef707ae3	UmairCubix1
fc6b591bcd8188f97c05c69944f69fec54b310bb	UmairCubix2
8e8763d297ce1043b6b7a9a02317926468dc8d0b	CubixIPhone5S1
2b4252716ceb71b629e6ef550cdd00cfe9d81fdc	CubixIPhone5S2
76190d982ea799af72e7ce64fc8b14ee1166ecbd	CubixIPhone5-1
f9121ee430c6004dd7037b0fb350813cda47b764	CubixIPhone5-2
6715e04c983af2b14a4952bc7cfb459da3b9a2df	CubixIPadAir
e9cdc4ff6f775e81f78639763e2c1dc675d0a977	CubixIPhone6
d3ae5e5899d714d01cb479f0dcd55f853e77c651	CrisisPal1
cfa0ca579ba968ce4f0b0f487867c5b0168c3534	CubixIPhone7P
850f887b5e183b04e2f750b66ec5158266f27403	CubixiPhoneX
4c2e9af5e672409f41bef1aa9ef3765d3fe009b2	CubixSalmaniPhoneX
d925b78ffd3ddce40ebd2971fcf24df94d0af203	CubixAppleWatchSeries3
f6c89f566329d17f968dbb1a5296abc7433d896c	CubixiPhone6s
b5050a27a627cc0ee411cc58362b45cb06e69d79	RiteHaulerClient1
b7a94e2ac985c2f9e758b23de53e00533460fa88	MehranKhanCubix
859397137b9c1448fd79a9cef246efb3811a18f5	HarisCubix
9719efef635d2599905251df03e599729b0101b9	CubixIPhone6S
1cedc8777ecae018a08dfdd356a2c8a549771760	iphonesh
95922104cfa877fffaa0cd64751519ac71ee8f77	CubixIPhone6
76be395663d944a597f560503b24a6eaa93d70d3	iPhone
dd8c116c95e243b221c8cdc1e74679a993cb3bb3	iPhones
b20177585e744829359e76c436350093e1bd46fa	iPhone8
cd4a47e8663c086a3c8a7836478f8deb9a72d9ac	CubixsiPhone
ed40754e03051fb05ae199d4f4c5137bcee496f0	CubixsShoaib5
